index,Expected Salary,CGPA,10th Percentage,12th Percentage,Branch,Certifications,Level of Participation,Communication Proficiency,Programming Languages,Extraversion,Agreeableness,Openness,Conscientiousness,Neuroticism,Attendance %,Employeed
1,31554.87,6.6,54.45,65.31,0,0,0,3,1,3,3,4,1,2,74,0
2,34036.1,5.29,79.49,47.68,1,0,0,10,2,3,5,2,2,1,83,0
3,33612.89,7.72,97.39,90.26,2,0,0,5,2,3,3,4,1,3,71,0
4,21501.3,7.41,78.13,81.61,2,1,0,10,1,2,5,2,4,2,93,1
5,30828.03,8.61,54.91,76.71,3,0,0,8,3,4,5,5,4,3,60,1
6,19694.2,5.72,91.37,45.83,4,0,0,4,2,2,5,4,3,5,72,0
7,48161.51,9.67,80.63,38.57,3,0,0,3,3,1,5,3,4,5,89,1
8,46733.8,5.18,52.89,40.16,5,0,0,8,3,3,3,4,2,5,50,1
9,18399.65,6.95,93.89,47.71,4,0,0,6,3,2,1,5,5,1,100,0
10,45477.21,9.76,71.31,49.42,6,1,0,7,2,5,1,1,1,4,83,1
11,32832.79,9.1,79.14,71.94,6,0,0,4,4,1,5,5,3,3,83,1
12,39647.96,8.63,39.51,47.71,3,0,0,6,1,4,1,5,3,3,67,1
13,46400.76,8.65,76.14,55.66,0,0,0,3,2,2,2,3,1,4,57,1
14,23148.03,8.78,87.11,74.16,1,0,0,4,1,3,5,1,5,3,89,0
15,49191.56,7.52,42.72,47.35,0,0,0,10,4,5,2,1,5,3,70,0
16,33832.19,9.42,98.49,91.24,4,2,0,9,1,5,1,3,2,3,74,0
17,14032.82,6.28,91.12,47.18,0,0,0,7,3,5,3,3,4,1,72,1
18,11168.93,7.21,64.23,40.98,0,0,2,5,5,3,1,5,1,2,89,0
19,27654.91,8.41,78.47,90.91,2,0,0,4,3,1,4,5,3,5,96,0
20,22615.92,7.06,94.65,40.1,0,0,0,6,2,4,5,5,4,1,67,1
21,29807.51,7.79,68.1,81.16,4,0,0,7,5,3,4,1,3,3,55,0
22,23896.23,9.87,94.86,70.64,0,0,0,8,3,2,1,1,2,5,53,0
23,27941.92,7.88,74.79,59.55,5,0,0,5,5,1,4,2,5,3,97,1
24,21695.44,9.89,77.52,44.74,2,2,0,6,4,1,4,1,3,1,67,1
25,20110.21,5.06,45.96,67.44,6,1,0,5,2,1,1,3,4,3,71,1
26,43454.47,6.84,41.81,82.96,0,0,0,4,5,1,3,5,4,3,61,0
27,13120.21,8.84,74.34,85.81,6,0,0,9,3,1,2,5,4,5,57,1
28,26883.17,9.82,42.86,46.21,4,0,0,4,5,3,4,4,4,1,58,1
29,44627.62,8.75,54.33,51.01,1,0,0,6,4,3,1,5,3,2,57,0
30,44664.05,6.62,81.18,78.36,2,5,0,8,5,2,2,5,4,3,77,0
31,14063.99,5.86,66.19,53.95,6,0,2,5,1,1,4,2,3,2,87,1
32,43444.59,9.92,95.23,93.12,1,0,0,8,3,3,4,5,5,3,93,1
33,35288.23,9.26,44.62,75.53,0,0,0,6,1,4,2,1,3,1,75,1
34,12983.6,9.55,77.69,53,5,3,0,10,5,5,3,4,2,1,53,0
35,24933.68,7.7,37.8,94.39,1,0,0,3,2,1,5,5,4,1,97,0
36,15626.44,7.75,98.4,52.76,0,0,0,7,5,1,5,2,2,3,79,0
37,27841.06,8.15,48.76,68.31,4,0,0,4,5,1,2,4,3,5,80,0
38,23339.05,7.89,76.34,72.27,0,0,0,8,5,2,5,3,4,2,67,0
39,44924.21,6.36,91.42,52.35,3,0,0,9,3,5,3,2,1,3,94,0
40,41691.18,5.85,69.2,74.77,3,0,0,4,1,5,3,1,4,1,67,0
41,33167.1,5.16,40.92,86.17,0,0,0,8,4,2,2,3,4,1,62,0
42,37419.22,7.87,41.63,82.49,6,3,0,5,3,5,3,3,2,1,97,0
43,30719.19,6.97,41.77,60.2,5,0,0,4,3,5,2,1,4,4,62,1
44,48421.71,6.34,58,71.3,1,0,0,10,1,3,5,2,3,3,79,0
45,24683.53,7.13,75.84,77.41,0,0,0,6,2,5,3,4,1,2,66,1
46,22984.48,7.79,56.11,88.67,0,0,0,6,3,2,4,2,3,2,62,0
47,47817.2,6.79,62.6,45.86,0,0,0,7,5,3,4,4,2,1,60,0
48,12799.8,7.95,71.44,35.08,3,0,0,8,3,2,3,3,3,2,58,1
49,12069.4,6.18,81.05,47.28,0,0,0,7,1,3,5,2,2,1,62,0
50,43263.48,5.3,77.99,53.6,0,0,0,4,1,3,3,2,3,5,68,0
51,20400.29,5.02,78.9,50.17,0,3,1,9,2,5,5,5,2,2,61,1
52,12466.68,5.21,85.3,40.77,0,0,2,4,2,2,1,2,4,3,99,1
53,29948.38,6.39,92.08,77.05,0,0,1,5,2,2,2,4,3,3,98,1
54,29066.24,7.37,81.29,57.15,5,0,0,10,2,5,3,2,5,2,50,1
55,27953.25,8.41,75.11,88.37,4,0,0,8,2,4,1,3,5,4,98,0
56,22831.71,7.69,95.33,49.46,5,5,2,5,3,5,1,1,2,3,56,0
57,35717.8,9.28,59.48,53.32,2,0,0,4,2,5,4,3,3,4,90,0
58,43110.95,8.45,65.19,85.81,0,0,0,10,1,1,3,2,2,2,99,1
59,34555.36,5.63,98.4,79.19,2,0,0,9,2,3,2,3,5,5,81,0
60,26526.49,8.55,66.31,65.17,6,0,0,6,4,3,4,3,1,3,50,0
61,18159,6.33,50.58,51.76,4,0,0,4,3,1,4,2,1,5,81,1
62,47245.61,8.32,77.59,38.06,3,0,0,4,2,5,2,1,5,5,71,1
63,42543.8,5.31,38.7,59.73,3,0,0,8,5,3,4,1,5,5,92,1
64,42206.01,8.06,73,58.76,0,0,0,8,4,1,3,4,3,2,80,0
65,17081.05,6.48,47.02,93.16,3,0,0,3,2,1,3,2,3,5,74,1
66,48148.96,9.64,44.46,41.57,4,2,0,3,2,4,2,2,5,1,77,1
67,32037.9,7.34,83.88,68.59,2,1,0,10,1,2,1,3,4,3,99,0
68,12118.62,7.08,94.24,82.42,6,0,0,5,1,2,5,5,5,5,97,1
69,11971.7,6.47,55.74,58.79,0,0,0,9,1,5,3,1,1,5,94,1
70,31567.87,8.05,59.78,86.05,6,5,0,5,3,1,5,5,1,5,77,0
71,47303.52,5.84,69.33,40.36,3,0,0,7,3,1,1,5,3,4,52,1
72,12400.56,9.01,57.19,72.03,4,0,0,6,4,2,4,4,4,2,57,0
73,31857.57,9.3,72.07,63.68,0,5,0,9,3,2,5,3,5,2,82,1
74,25291.6,9.64,81.77,62.25,0,0,0,5,5,5,1,2,3,4,78,0
75,38855.36,7.58,65.22,75,0,0,0,10,1,2,3,2,3,5,75,0
76,40997.62,8.76,97.7,92.12,3,0,0,9,3,5,3,3,3,3,56,1
77,13044.69,6.59,71.61,36.81,0,0,0,7,3,3,5,1,3,1,96,1
78,29571.23,5.8,92.46,75.6,0,0,0,9,2,4,3,2,5,4,74,1
79,36979.75,8.39,37.1,81.57,0,0,0,5,2,5,1,2,1,1,67,0
80,46445.39,5.47,79.42,46.66,5,0,0,3,4,2,2,2,3,4,55,0
81,21922.43,5.37,74.52,62.95,5,0,0,4,1,2,2,5,5,1,84,1
