index,Expected Salary,CGPA,10th Percentage,12th Percentage,Branch,Certifications,Level of Participation,Communication Proficiency,Programming Languages,Extraversion,Agreeableness,Openness,Conscientiousness,Neuroticism,Attendance %,Employeed
1,"$31,554.87 ",6.6,54.45,65.31,IT,,,3,C++,3,3,4,1,2,74,0
2,"$34,036.10 ",5.29,79.49,47.68,Mechanical,,,10,Python,3,5,2,2,1,83,0
3,"$33,612.89 ",7.72,97.39,90.26,Telecomm,,,5,Python,3,3,4,1,3,71,0
4,"$21,501.30 ",7.41,78.13,81.61,Telecomm,1,,10,C++,2,5,2,4,2,93,1
5,"$30,828.03 ",8.61,54.91,76.71,Civil,,,8,Java,4,5,5,4,3,60,1
6,"$19,694.20 ",5.72,91.37,45.83,Computer,,,4,Python,2,5,4,3,5,72,0
7,"$48,161.51 ",9.67,80.63,38.57,Civil,,,3,Java,1,5,3,4,5,89,1
8,"$46,733.80 ",5.18,52.89,40.16,Biomedical,,,8,Java,3,3,4,2,5,50,1
9,"$18,399.65 ",6.95,93.89,47.71,Computer,,,6,Java,2,1,5,5,1,100,0
10,"$45,477.21 ",9.76,71.31,49.42,Electronics,1,,7,Python,5,1,1,1,4,83,1
11,"$32,832.79 ",9.1,79.14,71.94,Electronics,,,4,C,1,5,5,3,3,83,1
12,"$39,647.96 ",8.63,39.51,47.71,Civil,,,6,C++,4,1,5,3,3,67,1
13,"$46,400.76 ",8.65,76.14,55.66,IT,,,3,Python,2,2,3,1,4,57,1
14,"$23,148.03 ",8.78,87.11,74.16,Mechanical,,,4,C++,3,5,1,5,3,89,0
15,"$49,191.56 ",7.52,42.72,47.35,IT,,,10,C,5,2,1,5,3,70,0
16,"$33,832.19 ",9.42,98.49,91.24,Computer,2,,9,C++,5,1,3,2,3,74,0
17,"$14,032.82 ",6.28,91.12,47.18,IT,,,7,Java,5,3,3,4,1,72,1
18,"$11,168.93 ",7.21,64.23,40.98,IT,0,National,5,C#,3,1,5,1,2,89,0
19,"$27,654.91 ",8.41,78.47,90.91,Telecomm,,,4,Java,1,4,5,3,5,96,0
20,"$22,615.92 ",7.06,94.65,40.1,IT,,,6,Python,4,5,5,4,1,67,1
21,"$29,807.51 ",7.79,68.1,81.16,Computer,,,7,C#,3,4,1,3,3,55,0
22,"$23,896.23 ",9.87,94.86,70.64,IT,,,8,Java,2,1,1,2,5,53,0
23,"$27,941.92 ",7.88,74.79,59.55,Biomedical,,,5,C#,1,4,2,5,3,97,1
24,"$21,695.44 ",9.89,77.52,44.74,Telecomm,2,,6,C,1,4,1,3,1,67,1
25,"$20,110.21 ",5.06,45.96,67.44,Electronics,1,,5,Python,1,1,3,4,3,71,1
26,"$43,454.47 ",6.84,41.81,82.96,IT,,,4,C#,1,3,5,4,3,61,0
27,"$13,120.21 ",8.84,74.34,85.81,Electronics,,,9,Java,1,2,5,4,5,57,1
28,"$26,883.17 ",9.82,42.86,46.21,Computer,,,4,C#,3,4,4,4,1,58,1
29,"$44,627.62 ",8.75,54.33,51.01,Mechanical,,,6,C,3,1,5,3,2,57,0
30,"$44,664.05 ",6.62,81.18,78.36,Telecomm,5,,8,C#,2,2,5,4,3,77,0
31,"$14,063.99 ",5.86,66.19,53.95,Electronics,,National,5,C++,1,4,2,3,2,87,1
32,"$43,444.59 ",9.92,95.23,93.12,Mechanical,,,8,Java,3,4,5,5,3,93,1
33,"$35,288.23 ",9.26,44.62,75.53,IT,,,6,C++,4,2,1,3,1,75,1
34,"$12,983.60 ",9.55,77.69,53,Biomedical,3,,10,C#,5,3,4,2,1,53,0
35,"$24,933.68 ",7.7,37.8,94.39,Mechanical,,,3,Python,1,5,5,4,1,97,0
36,"$15,626.44 ",7.75,98.4,52.76,IT,,,7,C#,1,5,2,2,3,79,0
37,"$27,841.06 ",8.15,48.76,68.31,Computer,,,4,C#,1,2,4,3,5,80,0
38,"$23,339.05 ",7.89,76.34,72.27,IT,,,8,C#,2,5,3,4,2,67,0
39,"$44,924.21 ",6.36,91.42,52.35,Civil,,,9,Java,5,3,2,1,3,94,0
40,"$41,691.18 ",5.85,69.2,74.77,Civil,,,4,C++,5,3,1,4,1,67,0
41,"$33,167.10 ",5.16,40.92,86.17,IT,,,8,C,2,2,3,4,1,62,0
42,"$37,419.22 ",7.87,41.63,82.49,Electronics,3,,5,Java,5,3,3,2,1,97,0
43,"$30,719.19 ",6.97,41.77,60.2,Biomedical,,,4,Java,5,2,1,4,4,62,1
44,"$48,421.71 ",6.34,58,71.3,Mechanical,,,10,C++,3,5,2,3,3,79,0
